damage,url
31.0,http://web.archive.org/web/20221129101106if_/http://github.com/JuliaData/DataTables.jl
30.98,http://web.archive.org/web/20240223180613if_/https://github.com/xtensor-stack/xtensor
30.54,http://web.archive.org/web/20240213212412if_/https://github.com/gpac/gpac
30.37,http://web.archive.org/web/20240414174709if_/https://github.com/kubernetes-client/java/
30.12,http://web.archive.org/web/20221128044305if_/http://github.com/yhlleo/DeepSegmentor
30.11,http://web.archive.org/web/20210619091025if_/https://github.com/daiquocnguyen/R-MeN
29.74,http://web.archive.org/web/20240222194442if_/https://github.com/FastReports/FastReport
29.69,http://web.archive.org/web/20240327113608if_/https://github.com/wifiphisher/wifiphisher
29.62,http://web.archive.org/web/20240416114200if_/https://github.com/Athou/commafeed
29.55,http://web.archive.org/web/20201026020835if_/https://github.com/js1019/PlanetaryModels
29.5,http://web.archive.org/web/20240214052107if_/https://github.com/rkt/rkt
29.37,http://web.archive.org/web/20201220213616if_/https://github.com/ZhangMenghe/mediapipe
29.29,http://web.archive.org/web/20240425041815if_/https://github.com/tidyverse/dplyr
29.29,http://web.archive.org/web/20240112021630if_/https://github.com/hoya012/deep_learning_object_detection
29.24,http://web.archive.org/web/20240413034813if_/https://github.com/wireservice/csvkit
29.23,http://web.archive.org/web/20240106095753if_/https://github.com/m4nh/cables_dataset
29.22,http://web.archive.org/web/20240427082738if_/https://github.com/jdorfman/awesome-json-datasets
29.07,http://web.archive.org/web/20240416165421if_/https://github.com/miyosuda/disentangled_vae
28.85,http://web.archive.org/web/20230827114036if_/https://github.com/bluesky/bluesky
28.71,http://web.archive.org/web/20230321014545if_/https://github.com/openpifpaf/openpifpaf
28.66,http://web.archive.org/web/20240416131217if_/https://github.com/zzh8829/YOLOv3-tf2
28.64,http://web.archive.org/web/20240415150855if_/https://github.com/rembo10/headphones
28.62,http://web.archive.org/web/20221221020137if_/http://github.com/YutaItoh/3D-Eye-Tracker
28.54,http://web.archive.org/web/20221005095056if_/https://github.com/SarthakJariwala/Python_GUI_apps
28.37,http://web.archive.org/web/20221005224841if_/https://github.com/MLBazaar/MLBlocks
28.37,http://web.archive.org/web/20230407215258if_/https://github.com/afni/afni
28.16,http://web.archive.org/web/20230521192118if_/https://github.com/tum-pbs/PhiFlow
28.12,http://web.archive.org/web/20211011121242if_/https://github.com/jcboyd/cdpath21-gan
28.1,http://web.archive.org/web/20231215123315if_/https://github.com/trufflesuite/ganache
27.93,http://web.archive.org/web/20230511175849if_/https://github.com/SymbioticLab/FedScale
27.81,http://web.archive.org/web/20230925031140if_/https://github.com/JessYanCoding/MVPArms
27.64,http://web.archive.org/web/20240208125111if_/https://github.com/zendesk/maxwell
27.56,http://web.archive.org/web/20240419180745if_/https://github.com/TencentARC/GFPGAN
27.47,http://web.archive.org/web/20230103221103if_/https://github.com/flatironinstitute/CaImAn
27.32,http://web.archive.org/web/20230410072529if_/http://github.com/darija-open-dataset/dataset
27.25,http://web.archive.org/web/20240413163604if_/https://github.com/tracyhenry/Kyrix/
27.24,http://web.archive.org/web/20201111153348if_/https://github.com/henryroe/ztv
27.07,http://web.archive.org/web/20221127033314if_/https://github.com/IBM-Blockchain-Archive/learn-chaincode
27.01,http://web.archive.org/web/20240421220818if_/https://github.com/benjaminp/six
26.95,http://web.archive.org/web/20230426095829if_/http://github.com/dl4sits/breizhcrops
26.89,http://web.archive.org/web/20220705004451if_/https://github.com/grburgess/gbm_drm_gen
26.87,http://web.archive.org/web/20221207185045if_/https://github.com/savasozkan/endnet
26.83,http://web.archive.org/web/20231211043335if_/https://github.com/crsh/citr
26.71,http://web.archive.org/web/20221031204737if_/http://github.com/FabioGrosso/pFsysFI
26.66,http://web.archive.org/web/20231226191005if_/https://github.com/morelinq/MoreLINQ
26.61,http://web.archive.org/web/20240314161152if_/https://github.com/ohdsi/patientlevelprediction/
26.61,http://web.archive.org/web/20231024211223if_/https://github.com/ocaml-community
26.6,http://web.archive.org/web/20240414002951if_/https://github.com/mabe02/lanterna
26.47,http://web.archive.org/web/20230313101326if_/https://github.com/HRNet/HRFormer
26.46,http://web.archive.org/web/20231122062959if_/https://github.com/aws-samples/aws-serverless-workshops
26.29,http://web.archive.org/web/20240413031726if_/https://github.com/gevent/gevent
26.28,http://web.archive.org/web/20231115200404if_/https://github.com/rzellem/EXOTIC/
26.24,http://web.archive.org/web/20200908204827if_/https://github.com/simonsobs/socs/
26.23,http://web.archive.org/web/20211015223459if_/https://github.com/flute0316/DFMLEditor
26.2,http://web.archive.org/web/20240402222230if_/https://github.com/docker-library/php
26.14,http://web.archive.org/web/20240414192340if_/https://github.com/lcm-proj/lcm
25.93,http://web.archive.org/web/20240401200406if_/https://github.com/mozilla/sccache
25.82,http://web.archive.org/web/20221017003216if_/http://github.com/mortazavilab/TALON
25.69,http://web.archive.org/web/20221013004535if_/http://github.com/Muzammal-Naseer/TTP
25.68,http://web.archive.org/web/20221013181949if_/https://github.com/tulip-control/omega
25.64,http://web.archive.org/web/20201123103028if_/https://github.com/SebastianMacaluso/VisualizeBinaryTrees
25.55,http://web.archive.org/web/20231228002651if_/https://github.com/espressif/esp-who
25.54,http://web.archive.org/web/20240415121005if_/https://github.com/montrealrobotics/BIV
25.42,http://web.archive.org/web/20220803064404if_/http://github.com/inspirehep/magpie
25.4,http://web.archive.org/web/20220628033203if_/https://github.com/phishman3579/java-algorithms-implementation
25.37,http://web.archive.org/web/20230321011449if_/https://github.com/casperdcl/brainweb
25.31,http://web.archive.org/web/20231224121216if_/https://github.com/grant-m-s/AstronomicAL
25.24,http://web.archive.org/web/20220707093543if_/https://github.com/saeed-anwar/R2Net
25.17,http://web.archive.org/web/20230804081959if_/http://github.com/tlatkowski/multihead-siamese-nets
24.99,http://web.archive.org/web/20221027103728if_/https://github.com/tobran/DF-GAN
24.99,http://web.archive.org/web/20240221232054if_/https://github.com/yuyakaido/CardStackView
24.91,http://web.archive.org/web/20240410142542if_/https://github.com/JuliaPackaging/BinaryBuilder.jl
24.89,http://web.archive.org/web/20231025192901if_/http://github.com/IBM/evote
24.88,http://web.archive.org/web/20220215052846if_/https://github.com/Rodrigo-Tenorio/distromax
24.84,http://web.archive.org/web/20231214071226if_/http://github.com/JuliaPolyhedra/Polyhedra.jl
24.84,http://web.archive.org/web/20230517091738if_/https://github.com/moses-smt
24.8,http://web.archive.org/web/20230922012908if_/https://github.com/JohnGiorgi/DeCLUTR
24.56,http://web.archive.org/web/20230427014507if_/http://github.com/FLHonker/Awesome-Knowledge-Distillation
24.54,http://web.archive.org/web/20240121165132if_/https://github.com/wurstmeister/kafka-docker
24.42,http://web.archive.org/web/20240308095428if_/https://github.com/bjornbytes/lovr
24.41,http://web.archive.org/web/20240416053239if_/https://github.com/imatge-upc/VNeAT
24.34,http://web.archive.org/web/20200917091454if_/https://github.com/petewarden/tensorflow_makefile
24.3,http://web.archive.org/web/20221027001449if_/https://github.com/dedis/kyber
24.24,http://web.archive.org/web/20240309024025if_/https://github.com/frida/frida
24.08,http://web.archive.org/web/20200908134956if_/https://github.com/ciaa/Hardware/
23.82,http://web.archive.org/web/20221017091221if_/http://github.com/AlexanderChristgau/mermaid
23.82,http://web.archive.org/web/20230320224620if_/https://github.com/bwohlberg/sporco
23.79,http://web.archive.org/web/20230928212329if_/https://github.com/AnacletoLAB/grape
23.62,http://web.archive.org/web/20200907033139if_/https://github.com/RazerM/orbital/
23.59,http://web.archive.org/web/20231203174510if_/https://github.com/boutproject/BOUT-dev
23.36,http://web.archive.org/web/20201110193206if_/https://github.com/intel-aero/meta-intel-aero
23.34,http://web.archive.org/web/20231102144120if_/https://github.com/PennyLaneAI/pennylane
23.32,http://web.archive.org/web/20231123124424if_/https://github.com/tothi/riemann-nonconvex/
23.32,http://web.archive.org/web/20230802220800if_/https://github.com/pbs-assess/sdmtmb
23.31,http://web.archive.org/web/20221128095903if_/https://github.com/andreasvarga/MatrixEquations.jl
23.22,http://web.archive.org/web/20230422041404if_/https://github.com/GraphBLAS/LAGraph
23.19,http://web.archive.org/web/20230104031547if_/https://github.com/ApolloScapeAuto/dataset-api
23.19,http://web.archive.org/web/20230128034018if_/https://github.com/astropy/ccdproc
23.16,http://web.archive.org/web/20221207013533if_/https://github.com/haskell-tools
23.15,http://web.archive.org/web/20230219081655if_/https://github.com/sgrvinod/a-PyTorch-Tutorial-to-Image-Captioning
23.12,http://web.archive.org/web/20231231055115if_/https://github.com/oz123/awesome-c
23.01,http://web.archive.org/web/20231119035352if_/http://github.com/grburgess/gbm_drm_gen/
22.94,http://web.archive.org/web/20230210003840if_/http://github.com/huangyjhust/3D-RU-Net
22.93,http://web.archive.org/web/20220624011852if_/https://github.com/JuliaSmoothOptimizers/NLPModelsIpopt.jl
22.86,http://web.archive.org/web/20231118145504if_/http://github.com/JuliaHolomorphic/ComplexPhasePortrait.jl
22.74,http://web.archive.org/web/20240327102522if_/https://github.com/junyanz/CycleGAN
22.68,http://web.archive.org/web/20240209034855if_/https://github.com/distcc/distcc
22.63,http://web.archive.org/web/20221221093457if_/http://github.com/abaisero/gym-gridverse
22.62,http://web.archive.org/web/20230318182109if_/https://github.com/soedinglab/hh-suite
22.43,http://web.archive.org/web/20221017165618if_/http://github.com/ivanvoitalov/whscm
22.37,http://web.archive.org/web/20240112104705if_/https://github.com/kengz/SLM-Lab/
22.31,http://web.archive.org/web/20240204002952if_/https://github.com/mikedewar/d3py
22.19,http://web.archive.org/web/20220831142656if_/https://github.com/tonyduan/mdn
22.17,http://web.archive.org/web/20221007174925if_/http://github.com/richard-weinhold/pomato
22.15,http://web.archive.org/web/20240327071434if_/https://github.com/wlong0827/state_of_nature
21.9,http://web.archive.org/web/20230405143305if_/http://github.com/ostrodmit/self-concordant
21.87,http://web.archive.org/web/20240418014322if_/https://github.com/thadikari/consensus_optimization
21.85,http://web.archive.org/web/20240327143812if_/https://github.com/YosysHQ/nextpnr
21.72,http://web.archive.org/web/20240423223628if_/https://github.com/Netflix/metacat
