damage,url
17.15,http://web.archive.org/web/20151128013724if_/http://sourceforge.net/p/regain/gitrepo/ci/master/tree/
17.07,http://web.archive.org/web/20240216211442if_/https://sourceforge.net/p/win32diskimager/code/ci/master/tree/
17.07,http://web.archive.org/web/20240216211442if_/https://sourceforge.net/p/win32diskimager/code/ci/master/tree/
16.94,http://web.archive.org/web/20220618020233if_/https://sourceforge.net/p/grandperspectiv/resources/ci/master/tree/
16.92,http://web.archive.org/web/20240227035312if_/https://sourceforge.net/p/optflux/tna4optflux3/ci/master/tree/
16.87,http://web.archive.org/web/20221024200204if_/https://sourceforge.net/p/flightgear/openradar/ci/master/tree/
16.32,http://web.archive.org/web/20150615003337if_/http://sourceforge.net/p/flightgear/windows-3rd-party/ci/master/tree/
16.23,http://web.archive.org/web/20220517010955if_/https://sourceforge.net/p/ucanaccess/git-code/ci/master/tree/
16.02,http://web.archive.org/web/20200612004450if_/https://sourceforge.net/p/poptop/git/ci/master/tree/
15.91,http://web.archive.org/web/20220606214238if_/https://sourceforge.net/p/mingw/mingw-get-inst/ci/master/tree/
15.89,http://web.archive.org/web/20220806081824if_/https://sourceforge.net/p/jedit/Geo/ci/master/tree/
15.87,http://web.archive.org/web/20240227041048if_/https://sourceforge.net/p/optflux/optflux/ci/master/tree/
15.8,http://web.archive.org/web/20190114125715if_/https://sourceforge.net/p/newfmd/code/ci/master/tree/
15.77,http://web.archive.org/web/20231224025014if_/https://sourceforge.net/p/octave/matgeom/ci/master/tree/
15.69,http://web.archive.org/web/20150926132101if_/http://sourceforge.net/p/jvi/code/ci/default/tree/
15.62,http://web.archive.org/web/20230409100508if_/https://sourceforge.net/p/pseint/code/ci/master/tree/
15.44,http://web.archive.org/web/20220806080319if_/https://sourceforge.net/p/jedit/P4Plugin/ci/master/tree/
15.42,http://web.archive.org/web/20220524182450if_/https://sourceforge.net/p/optflux/availablemodelsapi/ci/master/tree/
15.38,http://web.archive.org/web/20240227035157if_/https://sourceforge.net/p/optflux/rbc4optflux3/ci/master/tree/
15.37,http://web.archive.org/web/20221126125445if_/https://sourceforge.net/p/scribus/nogui14/ci/master/tree/
15.21,http://web.archive.org/web/20230822014214if_/https://sourceforge.net/p/squirrel-sql/git/ci/master/tree/
15.2,http://web.archive.org/web/20220806080323if_/https://sourceforge.net/p/jedit/HaXeSideKick/ci/master/tree/
14.69,http://web.archive.org/web/20221227135605if_/https://sourceforge.net/p/jedit/ClassBrowser/ci/master/tree/
14.67,http://web.archive.org/web/20220806080317if_/https://sourceforge.net/p/jedit/MyDoggyPlugin/ci/master/tree/
14.66,http://web.archive.org/web/20220422041303if_/https://sourceforge.net/p/djvu/old-djvu3-git/ci/master/tree/
14.56,http://web.archive.org/web/20231020201201if_/https://sourceforge.net/p/mcwin32/code/ci/master/tree/
14.56,http://web.archive.org/web/20231020201201if_/https://sourceforge.net/p/mcwin32/code/ci/master/tree/
14.51,http://web.archive.org/web/20230615050934if_/https://sourceforge.net/p/rodin-b-sharp/rodincore/ci/master/tree/
14.44,http://web.archive.org/web/20190303221101if_/https://sourceforge.net/p/smoothwall/wkitty42/ci/master/tree/
14.43,http://web.archive.org/web/20220523215055if_/https://sourceforge.net/p/atftp/code/ci/master/tree/
14.27,http://web.archive.org/web/20240227032348if_/https://sourceforge.net/p/optflux/mfa4optflux3/ci/master/tree/
14.24,http://web.archive.org/web/20190303221118if_/https://sourceforge.net/p/smoothwall/git/ci/master/tree/
13.74,http://web.archive.org/web/20220806080318if_/https://sourceforge.net/p/jedit/Reopen/ci/master/tree/
13.68,http://web.archive.org/web/20230106030133if_/https://sourceforge.net/p/octave/bsltl/ci/master/tree/
13.58,http://web.archive.org/web/20220606214238if_/https://sourceforge.net/p/mingw/utils/ci/master/tree/
13.52,http://web.archive.org/web/20220618020237if_/https://sourceforge.net/p/grandperspectiv/scripts/ci/master/tree/
13.24,http://web.archive.org/web/20240324124329if_/https://sourceforge.net/p/krystaldms/source-code/ci/master/tree/
13.22,http://web.archive.org/web/20240106082356if_/https://sourceforge.net/p/clucene/code/ci/master/tree/
13.18,http://web.archive.org/web/20240227033450if_/https://sourceforge.net/p/optflux/optflux-efm/ci/master/tree/
13.1,http://web.archive.org/web/20240227035212if_/https://sourceforge.net/p/optflux/regulatoryTool4optflux3/ci/master/tree/
