uri,stars,archived_file_percent,archived_file_count,total_file_count,f_0,f_1,f_2,f_3,f_4,f_5
http://web.archive.org/web/20230123061130/https://github.com/uwnlp/EasySRL,79,0.0072992700729927005,1,137,0.2,0.0,,,,0.0
http://web.archive.org/web/20240421222006/https://github.com/thunguyen177/DPER,2,0.0,0,21,0.0,,,,,
http://web.archive.org/web/20240415152242/https://github.com/ahaselsteiner/translated-weibull,0,0.0,0,7,0.0,,,,,
http://web.archive.org/web/20231025114755/https://github.com/imesluh/vocalfolds,23,0.0,0,1075,0.0,,,0.0,,
http://web.archive.org/web/20220708142952/https://github.com/davidebasile/FORTE2016,0,0.0,0,780,0.0,0.0,0.0,0.0,0.0,0.0
http://web.archive.org/web/20230321071631/https://github.com/C0nw0nk/CoinHive,68,0.75,3,4,1.0,0.5,,,,
http://web.archive.org/web/20220105113311/https://github.com/edongdongchen/EI,66,0.0,0,183,0.0,0.0,0.0,0.0,0.0,0.0
http://web.archive.org/web/20240325144443/https://github.com/jdcomsearch/poeem,61,0.022222222222222223,1,45,0.16666666666666666,0.0,0.0,0.0,0.0,
http://web.archive.org/web/20231012174839/https://github.com/SeUniVr/restats,20,0.0,0,29,0.0,0.0,0.0,,,
http://web.archive.org/web/20230331154714/https://github.com/xgfs/vk-userinfo,0,0.0,0,7,0.0,0.0,0.0,,,
http://web.archive.org/web/20220818065054/https://github.com/strilanc/quantumpseudocode,16,0.0,0,79,0.0,0.0,0.0,,,
http://web.archive.org/web/20220125174853/https://github.com/krasko_o_r/orbifolds,0,0.25,1,4,0.25,,,,,
http://web.archive.org/web/20230418010133/https://github.com/WaelSalloum/adam,5,0.0,0,12,0.0,0.0,,,,
http://web.archive.org/web/20240415102425/https://github.com/icra_nbs/list,2,0.0,0,10,0.0,0.0,,,,
http://web.archive.org/web/20240416161145/https://github.com/CiscoCTA_nci/eval,12,0.05555555555555555,1,18,0.14285714285714285,0.0,0.0,,,
http://web.archive.org/web/20230607115557/https://github.com/twitter-research/cwn,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
http://web.archive.org/web/20240422231556/https://github.com/bluecontra/AAAI2021-VDFP,2,0.0,0,731,0.0,0.0,0.0,,0.0,0.0
http://web.archive.org/web/20231124224613/https://github.com/WCHN/segmentation-model,1,0.0,0,1,0.0,,,,,
http://web.archive.org/web/20230420034539/https://github.com/cristal-smac/ScaIA,1,0.008547008547008548,1,117,0.0,0.0,0.043478260869565216,0.0,0.0,0.0
http://web.archive.org/web/20221014012716/https://github.com/chuxuzhang_WWW2018/Camel,1,0.0,0,47,0.0,0.0,0.0,,,
http://web.archive.org/web/20230725042040/https://github.com/jacobmarks/QTop,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
http://web.archive.org/web/20230118213529/https://github.com/fmastrogiuseppe/lowrank,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
http://web.archive.org/web/20240502094539/https://github.com/ayr-ton/awesome-geek-podcasts,565,0.16666666666666666,2,12,0.2222222222222222,0.0,0.0,,,
http://web.archive.org/web/20230404104440/https://github.com/g2glab/pg,6,0.03076923076923077,2,65,0.2,0.058823529411764705,0.0,,,
http://web.archive.org/web/20230321050312/https://github.com/Bala93/KD-MRI,23,0.18,9,50,1.0,0.1794871794871795,0.0,,,
http://web.archive.org/web/20221219013319/https://github.com/abuckner89/INDICATE,7,0.8,8,10,0.8,,,,,
http://web.archive.org/web/20221017082157/https://github.com/jsjol/dipy,1,0.0,0,588,0.0,0.0,0.0,0.0,0.0,
http://web.archive.org/web/20240420103145/https://github.com/lingchunkai/SafeSearchSSE,5,0.0,0,81,0.0,0.0,0.0,0.0,,
http://web.archive.org/web/20231219173542/https://github.com/facebookresearch/SentEval,2093,0.2564102564102564,10,39,1.0,0.29411764705882354,0.05555555555555555,,,
http://web.archive.org/web/20221217083636/https://github.com/gevolution-code_gevolution-1/2,24,0.03571428571428571,1,28,0.03571428571428571,,,,,
http://web.archive.org/web/20221207021623/https://github.com/yandachen_GI/2019,0,0.0,0,31,0.0,0.0,,,,
http://web.archive.org/web/20231001113023/https://github.com/yzpang/gold-off-policy-text-gen-iclr21,50,0.0,0,480,0.0,0.0,0.0,0.0,,
http://web.archive.org/web/20230605004041/https://github.com/sibirrer/AstroObjectAnalyser,0,0.021739130434782608,1,46,0.07692307692307693,0.0,0.0,,,
http://web.archive.org/web/20220524184114/https://github.com/argonne-lcf/PythonFOAM,170,0.00471253534401508,5,1061,0.0,0.0,0.02702702702702703,0.0,0.00631578947368421,0.0
